Description,Address,Rent,Additional infomation,Seller type,Free from,Property type,URL,Surface,Rooms,Property form,Price,Status,Heating type,Floor
Apartament de vânzare,"Strada Garii, Centru, Bacau, Bacau",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,70m²,3 camere,fara informatii,64 500 €,gata de utilizare,centrală pe gaz,fara informatii
Apartament de vânzare,"Chinteni, Chinteni, Cluj",fara informatii,balcon,agenție,2024-12-02,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,45m²,2 camere,drept de proprietate,85 000 €,necesita renovare,centrală pe gaz,2/4
Apartament de vânzare,"Strada Rezervelor, Rosu, Chiajna, Ilfov",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1,71m²,3 camere,fara informatii,76 900 €,gata de utilizare,centralizată,5/6
Apartament de vânzare,"Centrul Civic, Sectorul 4, Bucuresti",fara informatii,balcon,agenție,2024-11-18,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,57.3m²,3 camere,drept de proprietate,125 000 €,gata de utilizare,centralizată,1/8
Apartament de vânzare,"Orasul Nou, Oradea, Bihor",fara informatii,"balcon
garaj",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,53m²,2 camere,fara informatii,119 500 €,fara informatii,fara informatii,parter
Apartament de vânzare,"Slatina, Olt",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,81m²,3 camere,fara informatii,126 000 €,în construcție,centralizată,fara informatii
Apartament de vânzare,"Centru, Targu Mures, Mures",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,70m²,4 camere,fara informatii,150 000 €,fara informatii,fara informatii,6
Apartament de vânzare,"Centrul Civic, Sectorul 4, Bucuresti",fara informatii,balcon,agenție,2024-11-18,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-3-camere-decomandat-etaj-1-dimitrie-cantemir-IDBTDR,57.3m²,3 camere,drept de proprietate,125 000 €,gata de utilizare,centralizată,1/8
Apartament de vânzare,"Strada Tautiului, Floresti, Floresti, Cluj",fara informatii,balcon,privat,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,143m²,5 camere,drept de proprietate,273 000 €,gata de utilizare,centrală pe gaz,2/2
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,balcon,agenție,2024-11-11,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,76m²,3 camere,drept de proprietate,140 000 €,gata de utilizare,centrală pe gaz,1/2
Apartament de vânzare,"Pantelimon, Sectorul 2, Bucuresti",fara informatii,balcon,agenție,2024-11-12,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,68.33m²,3 camere,drept de proprietate,125 000 €,gata de utilizare,centralizată,2/10
Apartament de vânzare,"Craiovei, Pitesti, Arges",fara informatii,"balcon
bucătărie separată",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,61m²,2 camere,fara informatii,71 500 €,gata de utilizare,centrală pe gaz,5/7
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,"terasă
garaj",agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,55m²,3 camere,fara informatii,119 900 €,fara informatii,centralizată,4
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,balcon,agenție,2024-11-11,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-3-camere-76-mp-2-bai-zona-avram-iancu-IDBtyI,76m²,3 camere,drept de proprietate,140 000 €,gata de utilizare,centrală pe gaz,1/2
Apartament de vânzare,"Ozana, Sectorul 3, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,55m²,2 camere,drept de proprietate,75 000 €,gata de utilizare,fara informatii,2/8
Apartament de vânzare,"Miroslava, Iasi",300 €,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,57m²,2 camere,drept de proprietate,68 400 €,gata de utilizare,centrală pe gaz,1/3
Apartament de vânzare,"Drumul Fermei, Popesti Leordeni, Ilfov",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,59.5m²,2 camere,fara informatii,91 651 €,fara informatii,fara informatii,3/6
Apartament de vânzare,"Manastur, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,2024-11-26,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,52.45m²,2 camere,drept de proprietate,165 000 €,gata de utilizare,centrală pe gaz,2/4
Apartament de vânzare,"Pantelimon, Sectorul 2, Bucuresti",fara informatii,balcon,agenție,2024-11-11,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,37m²,1 cameră,drept de proprietate,68 000 €,gata de utilizare,centrală pe gaz,5/10
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,"balcon
garaj
debara",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,53m²,2 camere,drept de proprietate,104 900 €,gata de utilizare,centrală pe gaz,2/2
Apartament de vânzare,"Santandrei, Santandrei, Bihor",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,41m²,1 cameră,fara informatii,62 400 €,fara informatii,fara informatii,3
Apartament de vânzare,"Centru, Ploiesti, Prahova",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,51m²,2 camere,fara informatii,43 000 €,fara informatii,fara informatii,4
Apartament de vânzare,"Baciu, Cluj",fara informatii,balcon,agenție,2024-11-30,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,44m²,2 camere,drept de proprietate,95 000 €,gata de utilizare,centrală pe gaz,2/5
Apartament de vânzare,"Unirii, Targu Mures, Mures",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,70m²,3 camere,fara informatii,113 000 €,gata de utilizare,centralizată,parter/4
Apartament de vânzare,"Tiglina 1, Galati, Galati",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,60m²,2 camere,fara informatii,360 000 RON,fara informatii,fara informatii,1
Apartament de vânzare,"IMGB, Sectorul 4, Bucuresti",fara informatii,balcon,dezvoltator,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,149.1m²,4 camere,fara informatii,149 000 €,în construcție,centralizată,1/8
Apartament de vânzare,"Strada Cerbului, Bistrita, Bistrita-Nasaud",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,35m²,2 camere,fara informatii,57 800 €,fara informatii,fara informatii,2
Apartament de vânzare,"Titan, Sectorul 3, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,93m²,4 camere,fara informatii,215 000 €,fara informatii,fara informatii,6
Apartament de vânzare,"Manastur, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,51m²,2 camere,fara informatii,145 000 €,fara informatii,centralizată,5
Apartament de vânzare,"Strada Cerbului, Bistrita, Bistrita-Nasaud",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-2-camere-bloc-nou-libertii-pasarela-IDBtyo,35m²,2 camere,fara informatii,57 800 €,fara informatii,fara informatii,2
Apartament de vânzare,"Strada Tautiului, Floresti, Floresti, Cluj",fara informatii,balcon,privat,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,73m²,3 camere,drept de proprietate,139 000 €,gata de utilizare,centrală pe gaz,parter/2
Apartament de vânzare,"Calafat, Dolj",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,55m²,2 camere,fara informatii,35 000 €,fara informatii,fara informatii,3
Apartament de vânzare,"Decebal, Sectorul 3, Bucuresti",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,48.75m²,2 camere,fara informatii,116 000 €,fara informatii,fara informatii,5
Apartament de vânzare,"Vacaresti, Sectorul 4, Bucuresti",fara informatii,"balcon
beci",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,85.3m²,3 camere,fara informatii,325 000 €,gata de utilizare,altul,6
Apartament de vânzare,"Prund-Schei, Brasov, Brasov",fara informatii,"terasă
grădină
garaj",agenție,2024-11-30,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,325m²,4 camere,drept de proprietate,525 000 €,gata de utilizare,centrală pe gaz,3/3
Apartament de vânzare,"IMGB, Sectorul 4, Bucuresti",fara informatii,balcon,dezvoltator,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/apartament-4-camere-tva-inclus-avans-minim-15-berceni-sector-4-IDBSvR,149.1m²,4 camere,fara informatii,149 000 €,în construcție,centralizată,1/8
Apartament de vânzare,"Ocna Mures, Alba",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,63m²,2 camere,fara informatii,45 000 €,fara informatii,fara informatii,parter
Apartament de vânzare,"Strada Cerbului, Bistrita, Bistrita-Nasaud",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-2-camere-bloc-nou-libertii-pasarela-IDBtyo,35m²,2 camere,fara informatii,57 800 €,fara informatii,fara informatii,2
Apartament de vânzare,"Strada Vespasian, Gara de Nord, Sectorul 1, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,51m²,2 camere,fara informatii,141 000 €,fara informatii,fara informatii,6/8
Apartament de vânzare,"Prund-Schei, Brasov, Brasov",fara informatii,"terasă
grădină
garaj",agenție,2024-11-30,locuință utilizată,https://www.storia.ro/ro/oferta/penthouse-de-lux-cu-4-camere-si-vedere-spre-munte-IDBtyj,325m²,4 camere,drept de proprietate,525 000 €,gata de utilizare,centrală pe gaz,3/3
Apartament de vânzare,"Calafat, Dolj",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/vand-apartament-2-camere-etaj-3-str-1-decembrie-1918-bloc-i18-IDAuao,55m²,2 camere,fara informatii,35 000 €,fara informatii,fara informatii,3
Apartament de vânzare,"Vatra Luminoasa, Sectorul 2, Bucuresti",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,28m²,1 cameră,fara informatii,51 990 €,fara informatii,fara informatii,5
Apartament de vânzare,"Vacaresti, Sectorul 4, Bucuresti",fara informatii,"balcon
beci",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-3-camere-lux-i-tineretului-i-metrou-constantin-brncoveanu-IDBTDf,85.3m²,3 camere,fara informatii,325 000 €,gata de utilizare,altul,6
Apartament de vânzare,"Strada Berzei, Astra, Brasov, Brasov",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,56m²,3 camere,fara informatii,105 900 €,gata de utilizare,centralizată,parter/4
Apartament de vânzare,"Piata Romana, Sectorul 1, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,52m²,2 camere,drept de proprietate,120 000 €,gata de utilizare,fara informatii,3/9
Apartament de vânzare,"Orasul Vechi, Baia Mare, Maramures",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,44m²,2 camere,fara informatii,62 000 €,gata de utilizare,centrală pe gaz,parter
Apartament de vânzare,"Ploiesti Sud, Ploiesti, Prahova",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,36.38m²,1 cameră,fara informatii,37 500 €,gata de utilizare,fara informatii,1/3
Apartament de vânzare,"Centru, Ploiesti, Prahova",90 000 €,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,53m²,2 camere,drept de proprietate,85 000 €,gata de utilizare,centralizată,7/8
Apartament de vânzare,"Drumul Taberei, Sectorul 6, Bucuresti",fara informatii,"balcon
debara",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,48m²,2 camere,fara informatii,79 500 €,gata de utilizare,centralizată,3/10
Apartament de vânzare,"Navodari, Constanta",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,43.4m²,1 cameră,fara informatii,56 500 €,gata de utilizare,centrală pe gaz,5/5
Apartament de vânzare,"Militari, Sectorul 6, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,50m²,2 camere,fara informatii,71 500 €,fara informatii,fara informatii,4
Apartament de vânzare,"Marasti, Cluj-Napoca, Cluj",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,100m²,3 camere,fara informatii,452 000 €,fara informatii,fara informatii,1
Apartament de vânzare,"Vatra Luminoasa, Sectorul 2, Bucuresti",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/urgent-garsoniera-confort-1-31mp-et-5-10-vatra-luminoasa-IDC4kD,28m²,1 cameră,fara informatii,51 990 €,fara informatii,fara informatii,5
Apartament de vânzare,"Centru, Ploiesti, Prahova",90 000 €,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/apartament-2-camere-ultracentral-priveliste-spectaculoasa-IDAu7y,53m²,2 camere,drept de proprietate,85 000 €,gata de utilizare,centralizată,7/8
Apartament de vânzare,"Strada D5, Navodari, Constanta",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,65.1m²,3 camere,fara informatii,175 000 €,gata de utilizare,centralizată,8
Apartament de vânzare,"Grigorescu, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,49m²,2 camere,fara informatii,147 000 €,fara informatii,centralizată,3/10
Apartament de vânzare,"Piata Romana, Sectorul 1, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-2-camere-ultracentral-piata-romana-IDC4kB,52m²,2 camere,drept de proprietate,120 000 €,gata de utilizare,fara informatii,3/9
Apartament de vânzare,"Marasti, Cluj-Napoca, Cluj",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-lux-3-camere-in-vila-andrei-muresanu-IDAu71,100m²,3 camere,fara informatii,452 000 €,fara informatii,fara informatii,1
Apartament de vânzare,"Militari, Sectorul 6, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-2-camere-boxa-zona-militari-pacii-apusului-proprietar-IDBtxB,50m²,2 camere,fara informatii,71 500 €,fara informatii,fara informatii,4
Apartament de vânzare,"Orasul Vechi, Baia Mare, Maramures",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/apartament-2-camere-daliei-IDBTCW,44m²,2 camere,fara informatii,62 000 €,gata de utilizare,centrală pe gaz,parter
Apartament de vânzare,"Piata Romana, Sectorul 1, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-2-camere-ultracentral-piata-romana-IDC4kB,52m²,2 camere,drept de proprietate,120 000 €,gata de utilizare,fara informatii,3/9
Apartament de vânzare,"Marasti, Cluj-Napoca, Cluj",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-lux-3-camere-in-vila-andrei-muresanu-IDAu71,100m²,3 camere,fara informatii,452 000 €,fara informatii,fara informatii,1
Apartament de vânzare,"Navodari, Constanta",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/garsoniera-in-zona-lidl-mamaia-nord-comision-0-IDBTCU,43.4m²,1 cameră,fara informatii,56 500 €,gata de utilizare,centrală pe gaz,5/5
Apartament de vânzare,"Strada Macesului, Valea Cetatii, Brasov, Brasov",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,50m²,2 camere,fara informatii,96 000 €,gata de utilizare,centralizată,parter/8
Apartament de vânzare,"Craiovei, Pitesti, Arges",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,60m²,3 camere,fara informatii,86 000 €,fara informatii,fara informatii,1
Apartament de vânzare,"Tiglina 1, Galati, Galati",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,50m²,2 camere,drept de proprietate,100 000 €,gata de utilizare,centrală pe gaz,7/8
Apartament de vânzare,"IMGB, Sectorul 4, Bucuresti",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,64m²,2 camere,fara informatii,66 963 €,fara informatii,fara informatii,5
Apartament de vânzare,"Zorilor, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,47m²,2 camere,fara informatii,135 000 €,fara informatii,centralizată,4
Apartament de vânzare,"Vitan, Sectorul 3, Bucuresti",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,51m²,2 camere,fara informatii,100 000 €,fara informatii,fara informatii,parter
Apartament de vânzare,"Tiglina 1, Galati, Galati",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/doua-camere-riviera-faleza-tip14-IDAu6i,50m²,2 camere,drept de proprietate,100 000 €,gata de utilizare,centrală pe gaz,7/8
Apartament de vânzare,"Prelungirea Ghencea, Ghencea, Sectorul 6, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,37m²,1 cameră,fara informatii,62 000 €,fara informatii,centralizată,parter/4
Apartament de vânzare,"Zorilor, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/2-camere-decomandate-str-dima-zorilor-comision-zero-IDBtx7,47m²,2 camere,fara informatii,135 000 €,fara informatii,centralizată,4
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,"terasă
garaj",agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/apartamente-cu-2-camere-buget-finisaje-inclus-zona-eroilor-IDC4ks,44.15m²,2 camere,fara informatii,73 790 €,fara informatii,centralizată,4
Apartament de vânzare,"Strada Pasajul Comedia, Cismigiu, Sectorul 1, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,103m²,4 camere,fara informatii,449 000 €,fara informatii,centralizată,7/10
Apartament de vânzare,"Intre Lacuri, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,73m²,3 camere,fara informatii,279 000 €,fara informatii,fara informatii,1/3
Apartament de vânzare,"Becas, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,67m²,3 camere,fara informatii,190 000 €,gata de utilizare,centralizată,parter/2
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,"terasă
garaj",agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/apartamente-cu-2-camere-buget-finisaje-inclus-zona-eroilor-IDC4ks,44.15m²,2 camere,fara informatii,73 790 €,fara informatii,centralizată,4
Apartament de vânzare,"Strada Toamnei, Bragadiru, Ilfov",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,93m²,3 camere,fara informatii,87 000 €,fara informatii,centralizată,1/1
Apartament de vânzare,"Strada Obolului, Vacaresti, Sectorul 4, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,59m²,3 camere,fara informatii,83 000 €,fara informatii,fara informatii,3/4
Apartament de vânzare,"Becas, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/apartament-3-camere-bloc-nou-la-cheie-67mp-buna-ziua-IDBtvB,67m²,3 camere,fara informatii,190 000 €,gata de utilizare,centralizată,parter/2
Apartament de vânzare,"Strada Obolului, Vacaresti, Sectorul 4, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-3-camere-in-zona-brancoveanu-IDBTCM,59m²,3 camere,fara informatii,83 000 €,fara informatii,fara informatii,3/4
Apartament de vânzare,"Cisnadie, Sibiu",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,64m²,3 camere,fara informatii,121 000 €,fara informatii,fara informatii,1
Apartament de vânzare,"Bulevardul Corneliu Coposu, Centrul Istoric, Sectorul 3, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,53m²,2 camere,fara informatii,93 000 €,fara informatii,centralizată,2/2
Apartament de vânzare,"Piatra-Neamt, Neamt",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,38.06m²,3 camere,fara informatii,37 000 €,gata de utilizare,centralizată,4/4
Apartament de vânzare,"Strada Carei, Pantelimon, Sectorul 2, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/garsoniera-basarabia-chisinau-IDAu4A,33m²,1 cameră,fara informatii,51 500 €,fara informatii,fara informatii,8/8
Apartament de vânzare,"Feldioara, Feldioara, Brasov",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,79m²,4 camere,fara informatii,82 000 €,necesita renovare,centrală pe gaz,1/4
Apartament de vânzare,"Vitan, Sectorul 3, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,37.1m²,2 camere,fara informatii,77 700 €,fara informatii,fara informatii,1
Apartament de vânzare,"Titan, Sectorul 3, Bucuresti",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,46.26m²,2 camere,fara informatii,64 000 €,fara informatii,fara informatii,10
Apartament de vânzare,"Strada Carei, Pantelimon, Sectorul 2, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/garsoniera-basarabia-chisinau-IDAu4A,33m²,1 cameră,fara informatii,51 500 €,fara informatii,fara informatii,8/8
Apartament de vânzare,"Baneasa, Sectorul 1, Bucuresti",fara informatii,grădină,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,33m²,2 camere,fara informatii,99 900 €,gata de utilizare,centrală pe gaz,parter
Apartament de vânzare,"Vitan, Sectorul 3, Bucuresti",fara informatii,bucătărie separată,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,58.63m²,2 camere,fara informatii,169 900 €,fara informatii,fara informatii,parter
Apartament de vânzare,"Republicii Vest II, Ploiesti, Prahova",fara informatii,"balcon
beci
debara",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,70m²,3 camere,fara informatii,110 000 €,gata de utilizare,centralizată,3/9
Apartament de vânzare,"Grigorescu, Cluj-Napoca, Cluj",fara informatii,terasă,agenție,2024-10-25,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,66m²,3 camere,drept de proprietate,280 000 €,necesita renovare,centrală pe gaz,2/4
Apartament de vânzare,"Decebal, Sectorul 3, Bucuresti",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,62m²,2 camere,drept de proprietate,170 000 €,fara informatii,centralizată,2/8
Apartament de vânzare,"Centru, Ploiesti, Prahova",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,47m²,2 camere,fara informatii,48 000 €,fara informatii,fara informatii,1
